TaID,SiteID,GroupID,Sex,Birth_Year,Death_Year
Lauren,Old_North_End_Cemetery,9,M,1816,1899
Lauren,Old_North_End_Cemetery,9,F,1825,1886
Lauren,Old_North_End_Cemetery,9,F,1820,1898
Lauren,Old_North_End_Cemetery,9,M,1818,1892
Lauren,Old_North_End_Cemetery,9,F,1826,1861
Lauren,Old_North_End_Cemetery,9,M,1814,1898
Lauren,Old_North_End_Cemetery,9,M,1834,1859
Lauren,Old_North_End_Cemetery,9,M,1862,1899
Lauren,Old_North_End_Cemetery,9,M,1869,1895
Lauren,Old_North_End_Cemetery,9,M,1866,1897
Lauren,Old_North_End_Cemetery,9,M,1856,1864
Lauren,Old_North_End_Cemetery,9,F,1854,1879
Lauren,Old_North_End_Cemetery,9,F,1850,1864
Lauren,Old_North_End_Cemetery,9,M,1825,1891
Lauren,Old_North_End_Cemetery,9,F,1901,1986
Lauren,Old_North_End_Cemetery,9,F,1913,1918
Lauren,Old_North_End_Cemetery,9,F,1906,1994
Lauren,Old_North_End_Cemetery,9,M,1913,1981
Lauren,Old_North_End_Cemetery,9,M,1906,1909
Lauren,Old_North_End_Cemetery,9,M,1919,1978
Lauren,Old_North_End_Cemetery,9,M,1907,1966
Lauren,Old_North_End_Cemetery,9,F,1912,1997
Lauren,Old_North_End_Cemetery,9,M,1902,1960
Lauren,Old_North_End_Cemetery,9,F,1916,1935
Lauren,Old_North_End_Cemetery,9,F,1934,1993
Lauren,Old_North_End_Cemetery,9,F,1905,1908
Lauren,Old_North_End_Cemetery,9,F,1907,1920
Lauren,Old_North_End_Cemetery,9,M,1902,1929
Lauren,Old_North_End_Cemetery,9,M,1909,1988
Lauren,Old_North_End_Cemetery,9,F,1906,1988
Lauren,Old_North_End_Cemetery,9,M,1906,1944
Lauren,Old_North_End_Cemetery,9,M,1918,1992
Lauren,Old_North_End_Cemetery,9,F,1908,1920
Lauren,Old_North_End_Cemetery,9,F,1902,1990
Lauren,Old_North_End_Cemetery,9,F,1904,1977
